	gene_id	gene_type	logFC	AveExpr
1542	ENSG00000224986.2	processed_pseudogene	-0.076226148	6.564879662
843	ENSG00000142675.17	protein_coding	0.065545791	1.58923244
3205	ENSG00000252920.1	snoRNA	-0.072882548	-0.312084922
10732	ENSG00000168386.18	protein_coding	0.070128051	2.128210306
12679	ENSG00000249995.1	processed_pseudogene	-0.076738609	7.274445019
14601	ENSG00000249609.1	antisense	-0.066372732	-0.387920204
12398	ENSG00000242686.4	antisense	-0.066360586	0.695006197
2577	ENSG00000085465.12	protein_coding	0.089009242	4.764978292
13249	ENSG00000248479.1	lincRNA	0.077214077	5.71603815
7402	ENSG00000115107.19	protein_coding	-0.068806163	11.19975524
8578	ENSG00000163596.16	protein_coding	-0.065835535	0.462792912
11901	ENSG00000201452.1	snRNA	0.06585778	-0.678044963
6122	ENSG00000214602.3	processed_pseudogene	0.083309738	2.275609161
5721	ENSG00000157856.11	protein_coding	0.074052094	0.77085217
6604	ENSG00000233605.2	lincRNA	0.066906937	-0.010035107
16771	ENSG00000249119.1	processed_pseudogene	-0.07959617	2.46260315
9915	ENSG00000235288.3	antisense	-0.082885051	3.658199357
14390	ENSG00000270302.1	lincRNA	0.065520188	0.82667016
4722	ENSG00000178395.6	protein_coding	-0.078345951	6.546048725
6613	ENSG00000115386.5	protein_coding	-0.068987008	0.386440509
3602	ENSG00000238934.1	snoRNA	0.068292131	0.332008329
16149	ENSG00000145715.14	protein_coding	0.069040314	3.534166544
3739	ENSG00000143194.12	protein_coding	-0.076333855	5.381736801
6309	ENSG00000279485.1	TEC	-0.069133832	-1.165401408
13315	ENSG00000249890.1	unprocessed_pseudogene	-0.067082342	12.15792542
1649	ENSG00000227644.2	processed_pseudogene	0.077928333	3.261511231
17416	ENSG00000199035.2	miRNA	-0.076546947	4.752747757
14271	ENSG00000250361.8	protein_coding	0.076423873	1.463094049
1347	ENSG00000164010.14	protein_coding	0.066156936	5.489745144
18688	ENSG00000204248.10	protein_coding	0.06548804	-0.873177604
7998	ENSG00000230282.1	processed_pseudogene	-0.080077291	6.296555357
17953	ENSG00000205318.5	processed_pseudogene	-0.065816556	-1.086536478
16368	ENSG00000251204.1	processed_pseudogene	0.077225229	-1.252946351
16599	ENSG00000248752.1	lincRNA	-0.072753373	4.630079176
17562	ENSG00000250909.1	antisense	0.065396177	2.298315994
14812	ENSG00000251165.5	antisense	0.065982123	0.280525197
18543	ENSG00000201680.1	misc_RNA	-0.065507108	-0.895286172
7046	ENSG00000273045.6	protein_coding	0.112316622	-1.601873105
8080	ENSG00000239467.5	lincRNA	-0.078051495	5.909646062
14820	ENSG00000249539.1	processed_pseudogene	0.073059602	-0.57427098
11424	ENSG00000241899.1	processed_pseudogene	0.075780472	2.55332863
4467	ENSG00000123843.12	protein_coding	-0.076189955	5.484730764
15223	ENSG00000249854.1	lincRNA	0.080289503	4.54508846
16435	ENSG00000250358.5	lincRNA	-0.065705605	-0.388801189
12442	ENSG00000168924.14	protein_coding	0.073573231	3.420632863
863	ENSG00000243905.3	misc_RNA	-0.06947464	0.103257875
3374	ENSG00000132718.8	protein_coding	0.081472242	2.546027486
50	ENSG00000177757.2	lincRNA	0.06771425	0.233596158
5105	ENSG00000215802.3	transcribed_processed_pseudogene	-0.080359119	3.40162056
17236	ENSG00000249484.8	lincRNA	-0.065436666	0.789000787
13579	ENSG00000200108.1	snRNA	-0.081149922	5.097639768
11812	ENSG00000277925.1	misc_RNA	0.067453851	2.641578059
6533	ENSG00000065911.11	protein_coding	0.078749216	1.784071254
7572	ENSG00000251973.1	snRNA	-0.065535843	0.589990485
11527	ENSG00000163762.6	protein_coding	-0.068745218	4.174157593
8693	ENSG00000138413.13	protein_coding	0.065154956	-0.966107924
8484	ENSG00000155729.12	protein_coding	-0.064886548	-0.182269671
17069	ENSG00000225869.4	processed_pseudogene	0.064920162	1.011019464
1062	ENSG00000270850.1	processed_pseudogene	-0.072351971	3.600815674
7937	ENSG00000188668.4	unprocessed_pseudogene	-0.075054352	4.238019804
10856	ENSG00000206532.2	lincRNA	-0.083094231	2.741404143
13067	ENSG00000248946.2	processed_pseudogene	-0.069027361	0.807669045
17942	ENSG00000228478.1	lincRNA	0.06824385	3.454477493
1279	ENSG00000227311.3	processed_pseudogene	0.065050324	6.350048066
9275	ENSG00000172478.17	protein_coding	0.06512467	-0.17709617
9157	ENSG00000279809.1	TEC	-0.07780086	7.649338522
1711	ENSG00000233203.6	antisense	0.070327163	5.296565608
8851	ENSG00000135925.8	protein_coding	-0.067418399	1.894094824
11571	ENSG00000239265.5	antisense	-0.07741326	7.359581423
767	ENSG00000264926.1	miRNA	-0.06570892	-0.580412061
1940	ENSG00000197568.13	protein_coding	0.069313348	-1.318385517
10057	ENSG00000253056.1	snRNA	0.069134767	-0.574437524
698	ENSG00000285959.1	processed_transcript	0.079394578	-0.610196714
16936	ENSG00000170445.13	protein_coding	-0.074852748	0.228671217
15413	ENSG00000279400.1	TEC	-0.077680389	0.02474785
16460	ENSG00000271797.1	antisense	-0.081406125	2.930365972
7228	ENSG00000282033.1	lincRNA	-0.073410474	4.436688124
16130	ENSG00000241965.2	processed_pseudogene	-0.079100564	8.601910774
10606	ENSG00000175161.13	protein_coding	0.070133695	6.616613359
12938	ENSG00000250568.1	processed_pseudogene	-0.066552694	-0.725991107
6500	ENSG00000135624.15	protein_coding	-0.077456415	5.905037606
2256	ENSG00000239710.3	misc_RNA	0.069662573	4.57982152
12783	ENSG00000249453.1	antisense	0.066608684	1.977155731
18880	ENSG00000204091.7	antisense	0.08603777	3.441705802
5887	ENSG00000232153.2	lincRNA	0.065135942	-1.137468624
15379	ENSG00000272323.1	antisense	-0.079420483	5.519234712
5610	ENSG00000238735.1	snRNA	0.065131821	-0.193937957
13953	ENSG00000174607.10	protein_coding	0.070712497	4.195094112
4635	ENSG00000223375.1	processed_pseudogene	-0.066133394	-1.172470318
14416	ENSG00000137462.7	protein_coding	0.073747683	2.770818212
666	ENSG00000117245.12	protein_coding	0.06590889	-0.391065107
12360	ENSG00000199306.1	snRNA	-0.069595998	1.605069538
16987	ENSG00000120324.8	protein_coding	-0.079793008	4.297026004
14600	ENSG00000214676.4	processed_pseudogene	-0.066918072	-1.401078131
1498	ENSG00000228237.5	antisense	-0.07868484	5.03105679
816	ENSG00000233478.1	antisense	-0.079622403	5.814962922
12986	ENSG00000250781.1	antisense	0.087376748	1.151899611
16301	ENSG00000222610.1	snRNA	0.067298721	0.967577309
9883	ENSG00000223513.1	processed_pseudogene	-0.083042751	3.348699474
16413	ENSG00000214784.4	processed_pseudogene	-0.084364187	5.592858681
11798	ENSG00000207717.1	miRNA	0.068916723	2.171663014
11060	ENSG00000272678.1	antisense	-0.064635829	1.523245666
2296	ENSG00000117525.13	protein_coding	0.079739897	-1.662817934
18387	ENSG00000204681.10	protein_coding	0.065737427	-0.309303138
15422	ENSG00000242493.3	misc_RNA	0.064491607	-1.288200344
10780	ENSG00000236691.3	processed_pseudogene	0.065747375	0.841123137
16337	ENSG00000249495.1	processed_pseudogene	-0.08325754	6.551584124
17984	ENSG00000234427.1	lincRNA	0.065053436	-0.594735064
4819	ENSG00000143740.14	protein_coding	0.072248858	1.049698085
7072	ENSG00000234169.1	lincRNA	-0.075583505	7.841334089
18805	ENSG00000179165.10	protein_coding	-0.078847919	5.727053276
17108	ENSG00000248568.1	processed_pseudogene	-0.069491131	1.719969316
829	ENSG00000283938.1	miRNA	-0.077117104	3.590878686
6523	ENSG00000235499.1	lincRNA	-0.066293027	3.666386753
7615	ENSG00000227275.1	unprocessed_pseudogene	0.065252935	-1.266887433
1029	ENSG00000254545.1	antisense	-0.120911172	-2.078413356
15438	ENSG00000248461.1	lincRNA	0.084871039	5.743037601
1238	ENSG00000222378.1	rRNA_pseudogene	0.080669943	2.083937866
1618	ENSG00000154222.14	protein_coding	0.078433619	5.481162935
1815	ENSG00000229537.6	lincRNA	-0.079109696	1.078455928
6892	ENSG00000223816.5	unprocessed_pseudogene	-0.073369938	6.581589978
17300	ENSG00000113272.13	protein_coding	0.064033086	-0.885141826
10609	ENSG00000239519.1	antisense	-0.094535829	0.853192762
7442	ENSG00000222467.1	misc_RNA	-0.078544982	5.359576965
3683	ENSG00000225719.2	processed_pseudogene	-0.070935969	4.3959363
13144	ENSG00000134851.12	protein_coding	0.067434008	1.22005348
15605	ENSG00000169271.2	protein_coding	-0.079186932	6.395415483
3706	ENSG00000206990.1	misc_RNA	0.076450299	6.444979241
3793	ENSG00000235575.1	antisense	-0.063972456	0.985118565
12715	ENSG00000109743.10	protein_coding	0.063991335	-0.184390327
12297	ENSG00000222335.1	misc_RNA	0.074775516	7.345959457
4141	ENSG00000226486.1	lincRNA	0.079371236	6.893955245
15452	ENSG00000248577.1	processed_pseudogene	-0.064884704	-0.706092206
14380	ENSG00000249184.1	lincRNA	0.080551653	3.850556103
4628	ENSG00000228247.1	processed_pseudogene	-0.063881554	5.512185169
16331	ENSG00000250806.2	lincRNA	0.068976993	3.151239626
17826	ENSG00000137285.9	protein_coding	-0.075769902	6.216829951
14793	ENSG00000168491.9	protein_coding	0.071201255	0.908234631
7508	ENSG00000200432.1	misc_RNA	0.065429796	-1.42006121
12443	ENSG00000109685.17	protein_coding	0.074354207	3.106098633
14192	ENSG00000250195.1	antisense	-0.078228226	0.72449598
5811	ENSG00000200283.1	misc_RNA	0.085475987	5.688903203
14849	ENSG00000251619.1	lincRNA	0.072179365	2.689326975
19022	ENSG00000124608.4	protein_coding	-0.142385006	-1.293210062
4196	ENSG00000162687.17	protein_coding	0.065842927	2.09821076
6159	ENSG00000265452.1	miRNA	-0.084121911	1.300431368
11610	ENSG00000265813.2	misc_RNA	-0.065346979	-1.161608564
4613	ENSG00000223869.1	processed_pseudogene	-0.069118967	-1.25057899
6046	ENSG00000231848.1	processed_pseudogene	-0.082417515	4.651898707
6643	ENSG00000224695.1	processed_pseudogene	0.064449712	1.161046041
6057	ENSG00000231336.1	antisense	-0.075015258	4.004649499
11559	ENSG00000278234.1	snRNA	-0.079911975	5.203551011
12795	ENSG00000281501.1	antisense	0.066341341	-0.935218147
8185	ENSG00000226363.3	lincRNA	-0.067208784	-1.092983285
14366	ENSG00000208797.1	snoRNA	-0.064883965	-0.494115115
9390	ENSG00000253081.1	snRNA	-0.068227434	2.127235345
13147	ENSG00000238585.1	misc_RNA	-0.067895049	-0.908017014
6731	ENSG00000226114.1	processed_pseudogene	0.069372571	0.143475293
3235	ENSG00000196420.7	protein_coding	0.068496647	1.164746505
4095	ENSG00000206640.1	misc_RNA	-0.070030489	-0.138836657
4123	ENSG00000273129.1	lincRNA	-0.075868517	6.941854576
12254	ENSG00000173950.15	protein_coding	0.066053372	1.966917526
13053	ENSG00000251722.1	snRNA	-0.068359784	0.216447913
17782	ENSG00000176515.1	lincRNA	-0.068284212	2.585893322
337	ENSG00000283611.2	unitary_pseudogene	0.070354707	7.118187915
14637	ENSG00000248637.1	processed_pseudogene	-0.077220327	2.582304198
8337	ENSG00000231739.2	processed_pseudogene	-0.065784137	3.943237936
5783	ENSG00000171174.14	protein_coding	-0.084312058	4.159565415
12640	ENSG00000251087.3	unprocessed_pseudogene	-0.073711773	-0.947699862
8496	ENSG00000223092.1	rRNA_pseudogene	-0.064190322	-0.455834868
7112	ENSG00000227680.1	lincRNA	-0.076419156	2.791724019
5706	ENSG00000084731.14	protein_coding	0.066690098	0.8251763
9583	ENSG00000285731.1	lincRNA	0.065531811	1.310623885
4105	ENSG00000279401.1	TEC	-0.0655823	-1.207081332
13029	ENSG00000163288.13	protein_coding	0.063670366	-1.385445781
15319	ENSG00000133401.15	protein_coding	0.077583553	8.227448891
1963	ENSG00000212366.1	snRNA	-0.075511254	4.679304591
15253	ENSG00000277455.1	misc_RNA	-0.073929794	5.031918511
114	ENSG00000225285.1	lincRNA	0.074463503	2.162114066
3055	ENSG00000117362.12	protein_coding	0.06877979	-0.141962127
4342	ENSG00000234775.1	antisense	0.064921912	-0.900463083
7553	ENSG00000230496.1	unprocessed_pseudogene	0.071962254	-0.188045563
12353	ENSG00000284146.1	miRNA	-0.066403864	0.855641719
9824	ENSG00000157036.12	protein_coding	0.066793683	-0.388507505
11036	ENSG00000036828.16	protein_coding	0.063420909	3.797822409
15060	ENSG00000279698.1	TEC	0.06763467	1.098054191
2648	ENSG00000134207.16	protein_coding	0.069679585	0.329417382
17858	ENSG00000260239.1	lincRNA	0.079474886	3.833779721
6127	ENSG00000282828.1	lincRNA	0.105030007	0.674692624
6953	ENSG00000270193.1	processed_pseudogene	0.070542169	6.371041804
6963	ENSG00000231584.8	transcribed_unprocessed_pseudogene	-0.079600699	3.146824785
4869	ENSG00000200343.1	rRNA	0.066745146	4.040085785
18644	ENSG00000225914.2	antisense	0.067290831	-0.35266759
9074	ENSG00000171596.6	protein_coding	-0.07514072	4.920545027
10917	ENSG00000240776.1	processed_pseudogene	0.082101632	6.088679724
13080	ENSG00000109184.14	protein_coding	-0.065235372	-1.214526378
14363	ENSG00000145425.9	protein_coding	-0.100132926	-1.417593593
16620	ENSG00000250956.1	processed_pseudogene	-0.067238484	5.035135636
1517	ENSG00000162367.11	protein_coding	-0.067082994	9.012999878
18245	ENSG00000196787.3	protein_coding	-0.074336169	-0.296737374
4742	ENSG00000237101.1	antisense	-0.069578377	2.371478542
11662	ENSG00000114850.6	protein_coding	0.074795875	1.226542388
1918	ENSG00000229440.1	processed_pseudogene	-0.063418492	2.668212814
18054	ENSG00000124789.11	protein_coding	0.06791314	2.357152214
7322	ENSG00000125571.9	protein_coding	-0.07971327	1.474384761
4107	ENSG00000207108.1	misc_RNA	0.071128284	0.546937491
9972	ENSG00000163815.5	protein_coding	0.074821871	2.183871422
14896	ENSG00000214278.4	processed_pseudogene	0.073825648	0.769152959
12597	ENSG00000229924.3	protein_coding	-0.072208263	-0.440727264
187	ENSG00000207776.1	miRNA	0.069009394	0.79658813
5025	ENSG00000232714.1	processed_pseudogene	-0.064039485	-1.427652838
13404	ENSG00000109272.3	protein_coding	0.076528091	1.510033149
8236	ENSG00000249909.1	unitary_pseudogene	0.064414485	1.084155246
8939	ENSG00000124003.12	protein_coding	-0.074658292	7.26802609
4302	ENSG00000249007.1	sense_intronic	-0.078477609	5.413664433
10550	ENSG00000243794.1	processed_pseudogene	-0.071706169	1.679556367
5823	ENSG00000231712.1	processed_pseudogene	-0.062925979	3.629312725
12037	ENSG00000283765.1	protein_coding	0.080078462	4.485534492
7954	ENSG00000241399.6	protein_coding	0.06386315	0.269943597
2146	ENSG00000224466.1	processed_pseudogene	0.062788411	1.01812377
14108	ENSG00000151466.11	protein_coding	-0.072388912	0.325657492
15831	ENSG00000249295.1	antisense	-0.078154215	5.403284321
801	ENSG00000284602.1	bidirectional_promoter_lncRNA	-0.073153405	5.531227577
8998	ENSG00000284718.1	protein_coding	0.063577979	2.322729779
10935	ENSG00000241560.5	antisense	0.080515297	1.894757072
18611	ENSG00000204356.13	protein_coding	0.072038579	6.749697954
13394	ENSG00000081051.7	protein_coding	-0.073077963	3.697593794
6705	ENSG00000232504.4	lincRNA	0.063893841	1.774109229
9391	ENSG00000231401.1	lincRNA	0.063690932	1.13499499
8911	ENSG00000223903.1	processed_pseudogene	0.063248036	-0.365799147
8174	ENSG00000128713.13	protein_coding	-0.070244446	-0.20555057
8196	ENSG00000272551.1	lincRNA	0.068209038	-1.471840227
15936	ENSG00000250071.1	processed_pseudogene	0.063055354	1.030141858
14275	ENSG00000261129.1	lincRNA	0.069339392	0.372689499
91	ENSG00000230415.1	lincRNA	0.063496409	1.016288085
4619	ENSG00000202498.1	snoRNA	0.070304364	1.716178395
2342	ENSG00000285922.1	lincRNA	0.077268997	1.918385116
15967	ENSG00000248127.1	lincRNA	0.075187622	4.632684189
5193	ENSG00000242042.1	lincRNA	0.065380219	0.128246746
1023	ENSG00000162517.12	protein_coding	-0.070707817	-1.464523356
11323	ENSG00000253087.1	snRNA	0.067412769	0.022172838
4322	ENSG00000117139.17	protein_coding	-0.077862812	4.851180038
994	ENSG00000186056.10	antisense	0.064056755	1.412670856
11305	ENSG00000154917.10	protein_coding	0.069562059	5.495454034
3115	ENSG00000143390.17	protein_coding	-0.062427845	-0.620882788
8874	ENSG00000284820.1	protein_coding	0.07374554	2.866937876
16300	ENSG00000153922.10	protein_coding	-0.063922496	4.229026998
842	ENSG00000142684.8	protein_coding	-0.078322356	4.881537622
11636	ENSG00000240045.1	protein_coding	-0.0631316	-1.325962491
11915	ENSG00000231310.3	antisense	-0.071217648	2.621220021
11888	ENSG00000252982.1	misc_RNA	0.062796309	2.313234045
6137	ENSG00000224344.1	processed_pseudogene	-0.070807913	5.245533816
1838	ENSG00000277689.1	misc_RNA	-0.082629897	3.536734665
18350	ENSG00000223677.1	unprocessed_pseudogene	-0.078738068	5.790594934
7022	ENSG00000135940.6	protein_coding	-0.065775513	3.009533327
5895	ENSG00000234587.1	processed_pseudogene	0.075043009	0.348334563
10567	ENSG00000185008.17	protein_coding	0.079166602	2.715926528
6188	ENSG00000206964.1	misc_RNA	0.067524453	5.371531197
13026	ENSG00000249936.3	processed_pseudogene	0.063629541	3.663392481
8581	ENSG00000138442.9	protein_coding	0.072393695	1.725416942
13082	ENSG00000272576.1	lincRNA	-0.064018767	2.159628145
7988	ENSG00000224674.1	processed_pseudogene	0.073003949	1.548723451
13826	ENSG00000138780.14	protein_coding	0.067209904	0.564163702
2076	ENSG00000224494.1	processed_pseudogene	0.065132884	1.176086355
12886	ENSG00000181826.9	protein_coding	0.073482747	2.765779263
17842	ENSG00000216657.1	processed_pseudogene	-0.067477829	0.169795538
5748	ENSG00000163792.6	protein_coding	0.068597829	1.226324539
10801	ENSG00000239586.1	unprocessed_pseudogene	-0.065670776	4.918022501
13117	ENSG00000269506.2	antisense	0.068667876	1.181211296
8942	ENSG00000235225.1	processed_pseudogene	0.067670958	-0.781386804
292	ENSG00000234619.1	processed_pseudogene	-0.157730823	2.304348915
13278	ENSG00000227725.3	processed_pseudogene	0.075428911	4.930404469
4743	ENSG00000143748.17	protein_coding	-0.072161038	1.678039214
9072	ENSG00000223198.1	snRNA	-0.065132816	1.991077479
16524	ENSG00000145779.7	protein_coding	0.071879136	3.001527447
15393	ENSG00000168685.14	protein_coding	0.065265115	0.039864984
7874	ENSG00000224612.1	lincRNA	0.06297394	-0.460086016
336	ENSG00000202415.1	misc_RNA	0.073690147	2.382046287
720	ENSG00000276835.2	miRNA	-0.079302636	7.956492479
2573	ENSG00000173947.13	protein_coding	0.062511796	-0.188216215
403	ENSG00000285646.1	lincRNA	-0.078128839	7.452509295
18248	ENSG00000274997.1	protein_coding	0.062273753	4.901052593
9586	ENSG00000227309.1	processed_pseudogene	0.073362058	4.090515149
11164	ENSG00000201210.1	rRNA_pseudogene	0.062729736	-0.529516434
2070	ENSG00000227937.1	processed_pseudogene	-0.073297604	7.178569849
17635	ENSG00000197451.11	protein_coding	-0.078894865	5.438909447
5069	ENSG00000227860.1	processed_pseudogene	-0.07997651	5.479284953
7577	ENSG00000184761.8	transcribed_unprocessed_pseudogene	-0.064649769	1.174095312
6251	ENSG00000232713.2	processed_pseudogene	0.078966943	6.164065187
4885	ENSG00000271399.1	processed_pseudogene	-0.067555234	-1.408563632
422	ENSG00000252969.1	snoRNA	0.063918298	6.366696979
6583	ENSG00000231172.2	antisense	-0.063745913	-1.21562891
7150	ENSG00000272994.1	lincRNA	-0.078677576	2.316022066
14029	ENSG00000250344.1	lincRNA	0.063285606	0.967640781
3436	ENSG00000027644.4	protein_coding	-0.078789335	3.299182151
5757	ENSG00000115204.14	protein_coding	-0.079561473	4.120657563
5322	ENSG00000189292.15	protein_coding	-0.061869652	1.482014086
5223	ENSG00000227671.4	transcribed_unprocessed_pseudogene	-0.078947679	5.354467081
4816	ENSG00000181450.17	protein_coding	0.067476305	2.499820733
7665	ENSG00000272769.1	lincRNA	-0.075655238	2.90673094
8611	ENSG00000237843.1	lincRNA	-0.06367354	2.704810622
12280	ENSG00000145113.21	protein_coding	0.071635004	1.173009529
5954	ENSG00000188010.13	protein_coding	-0.068821389	7.240806675
7825	ENSG00000222126.1	snRNA	0.066508672	0.094086199
11669	ENSG00000241879.1	processed_pseudogene	-0.062162652	-0.865484898
3137	ENSG00000143436.10	protein_coding	-0.078839153	7.478622361
18724	ENSG00000276746.1	misc_RNA	0.073663898	6.739896061
15571	ENSG00000248891.2	processed_pseudogene	0.072293554	2.783539858
5019	ENSG00000162885.12	protein_coding	-0.064299741	-1.209992636
3116	ENSG00000224645.1	antisense	-0.078951291	8.251733052
6019	ENSG00000138075.12	protein_coding	-0.063057756	5.129965055
4003	ENSG00000121454.5	protein_coding	-0.067412101	1.95102777
16908	ENSG00000120306.10	protein_coding	-0.074127748	3.710096325
9704	ENSG00000224618.1	processed_pseudogene	0.066454026	1.907828343
12556	ENSG00000173011.11	protein_coding	0.065661364	-0.042265026
10259	ENSG00000252768.1	snRNA	0.071590144	7.73342853
12296	ENSG00000163958.13	protein_coding	-0.081753056	3.559689496
1222	ENSG00000215895.4	processed_pseudogene	0.062416267	0.691206685
170	ENSG00000237058.1	antisense	0.064811542	-1.437167809
8944	ENSG00000224121.1	processed_pseudogene	0.065577528	1.93168979
3114	ENSG00000273481.1	lincRNA	-0.065176406	2.947722998
14177	ENSG00000280352.1	TEC	-0.080480726	5.519191812
4147	ENSG00000230987.2	processed_pseudogene	0.070718197	6.41781162
15797	ENSG00000252108.1	snRNA	-0.065594552	0.589913242
12841	ENSG00000249228.1	lincRNA	0.077167267	3.916648402
5139	ENSG00000253326.2	processed_pseudogene	0.074071295	2.517277184
17364	ENSG00000280776.1	lincRNA	0.061987788	-1.013139574
17341	ENSG00000170234.12	protein_coding	0.069173954	2.667542847
17233	ENSG00000254226.5	lincRNA	-0.076321044	2.444486855
6606	ENSG00000214429.3	processed_pseudogene	-0.062284796	-0.094265833
11990	ENSG00000241231.1	lincRNA	0.061516553	1.964957251
5239	ENSG00000177489.1	protein_coding	0.073681194	1.653252148
16031	ENSG00000243160.1	processed_pseudogene	-0.075334625	6.243536106
3201	ENSG00000283227.1	protein_coding	0.063225384	1.780498586
9161	ENSG00000279218.1	TEC	0.062245793	0.230528726
9264	ENSG00000142327.12	protein_coding	-0.074096951	4.744085148
13465	ENSG00000249278.1	processed_pseudogene	0.062192703	3.078276767
15588	ENSG00000247796.2	antisense	0.065608614	1.864660085
1455	ENSG00000234379.1	unprocessed_pseudogene	-0.063932121	1.077059281
18826	ENSG00000137409.19	protein_coding	-0.070721537	4.815348373
18079	ENSG00000217314.2	processed_pseudogene	-0.064687184	0.162959922
13621	ENSG00000249001.5	antisense	0.078070848	3.316861879
12530	ENSG00000072832.14	protein_coding	-0.064308334	5.524568781
2417	ENSG00000222069.1	misc_RNA	0.064511284	-1.489894468
736	ENSG00000206935.1	snRNA	-0.063505675	-1.613997272
8833	ENSG00000127831.10	protein_coding	-0.078023325	2.685662879
919	ENSG00000117758.13	protein_coding	0.062976254	3.19946611
4079	ENSG00000116667.13	protein_coding	-0.061345409	-0.79104198
17463	ENSG00000253110.1	lincRNA	0.065879382	0.734589673
9115	ENSG00000213055.3	processed_pseudogene	-0.072397092	1.866454442
12188	ENSG00000214147.2	processed_pseudogene	-0.064612018	-1.193463901
8675	ENSG00000272851.1	antisense	0.070826582	1.440665892
9099	ENSG00000163286.8	protein_coding	-0.067300315	-0.646357693
18474	ENSG00000228415.3	processed_pseudogene	0.06202012	-1.316689118
13650	ENSG00000252322.1	misc_RNA	-0.076408187	4.377752837
6059	ENSG00000278764.1	misc_RNA	0.074981403	3.236005156
3902	ENSG00000227373.5	lincRNA	-0.061275902	1.626072568
18090	ENSG00000145996.11	protein_coding	0.070313558	2.898372562
16618	ENSG00000250080.1	processed_pseudogene	-0.091169664	-0.330929469
3864	ENSG00000180999.10	protein_coding	0.061231197	0.04085776
2686	ENSG00000163393.12	protein_coding	-0.075045197	6.171747618
18927	ENSG00000227516.1	lincRNA	-0.061225138	-1.417352498
17630	ENSG00000145911.5	protein_coding	-0.070813611	0.1044566
1831	ENSG00000264271.2	misc_RNA	0.082244981	-0.290752012
11017	ENSG00000145087.12	protein_coding	0.066130409	1.150124713
11642	ENSG00000242152.1	processed_pseudogene	-0.061118499	-0.065617338
10477	ENSG00000271034.1	processed_pseudogene	-0.061717059	0.864636996
16374	ENSG00000249959.5	lincRNA	-0.076593283	3.951000157
6678	ENSG00000202382.1	misc_RNA	0.061049542	-1.150596459
861	ENSG00000117676.13	protein_coding	-0.076325197	3.31988439
4341	ENSG00000163485.16	protein_coding	-0.068882104	3.601023361
7915	ENSG00000234584.1	lincRNA	-0.073764125	2.042982907
16578	ENSG00000253807.5	lincRNA	0.072785677	2.086916779
11197	ENSG00000249505.1	processed_pseudogene	0.070779679	3.85740517
12068	ENSG00000114867.20	protein_coding	0.076637485	-0.821255735
6319	ENSG00000228079.2	lincRNA	-0.077307569	1.421152408
11925	ENSG00000228561.2	lincRNA	0.072758373	3.74823294
15726	ENSG00000248529.5	antisense	-0.074357746	4.613541634
6676	ENSG00000115459.17	protein_coding	-0.061081779	-0.56223972
6540	ENSG00000204843.12	protein_coding	0.061426686	0.637143119
9452	ENSG00000157020.17	protein_coding	0.077387465	-0.81169829
10038	ENSG00000276925.1	processed_pseudogene	0.074700179	8.018754498
12517	ENSG00000247708.7	antisense	0.069471663	1.910815613
12397	ENSG00000133256.12	protein_coding	-0.062275648	0.610995576
11092	ENSG00000252953.1	snRNA	-0.061119902	3.085217694
9175	ENSG00000235293.1	lincRNA	-0.071685359	5.539732715
2431	ENSG00000225036.1	processed_pseudogene	-0.065187437	-1.4175864
2596	ENSG00000064703.11	protein_coding	0.06761731	1.701132782
10793	ENSG00000241787.1	unprocessed_pseudogene	0.070161057	1.538842779
3003	ENSG00000254913.1	antisense	-0.068190439	6.892827439
15509	ENSG00000177738.3	sense_overlapping	-0.084356277	5.567701794
3386	ENSG00000285677.1	antisense	0.069794465	2.238968039
4050	ENSG00000135838.13	protein_coding	-0.060751192	-0.098885529
6311	ENSG00000228305.2	processed_pseudogene	-0.075180086	4.536072214
9503	ENSG00000144711.15	protein_coding	0.072056333	6.116646118
2399	ENSG00000225938.1	antisense	-0.078175609	4.505482634
2129	ENSG00000273264.1	lincRNA	0.078858052	0.823825353
8094	ENSG00000233934.2	processed_pseudogene	-0.072022055	0.76710035
16390	ENSG00000248867.1	processed_pseudogene	-0.073552243	5.244030474
17322	ENSG00000253456.1	antisense	0.064936445	0.176565724
1706	ENSG00000006555.10	protein_coding	-0.067789769	2.253323905
10092	ENSG00000114302.15	protein_coding	0.068572694	1.586208604
3980	ENSG00000224620.2	processed_pseudogene	-0.061379186	-0.986520618
17284	ENSG00000253980.1	antisense	-0.061941342	-0.995344091
12930	ENSG00000078140.13	protein_coding	0.067359861	2.371156284
8818	ENSG00000261338.2	sense_overlapping	0.069445202	0.28565651
18403	ENSG00000199290.1	misc_RNA	-0.062709537	-0.315237062
17590	ENSG00000240729.1	processed_pseudogene	0.073240542	0.444375259
7464	ENSG00000235491.1	lincRNA	0.081962611	5.509434158
16734	ENSG00000271737.1	lincRNA	-0.069647786	3.421148676
14259	ENSG00000228981.3	processed_pseudogene	0.062475264	0.070620937
9358	ENSG00000234325.1	processed_pseudogene	0.060709841	2.249821008
3355	ENSG00000116539.12	protein_coding	-0.065954369	1.566304809
12002	ENSG00000242512.8	lincRNA	-0.06577703	-0.766065413
16219	ENSG00000248483.6	protein_coding	-0.069226701	1.153892216
1158	ENSG00000231849.1	processed_pseudogene	-0.06167065	-0.569378991
1041	ENSG00000025800.13	protein_coding	0.093030246	-0.369261055
9700	ENSG00000281710.1	snoRNA	0.069990745	5.105967908
